FisheryID,CA_Number,CA_Short_Name,CWT_Flag,Cat_Flag,Type_Calc,RRTermType
137,651,Ar 13  Net,1,1,1,M
139,655,Ar 13C Net,2,1,1,M
141,656,Ar 13A Net,2,1,1,M
143,657,Ar 13D Net,2,1,1,M
145,659,A13FK  Net,1,1,1,M
NA,660,13D-K  Net,0,0,1,NA
147,661,Nisq R Net,2,1,3,FW
148,663,McAlls Net,2,1,3,FW
149,683,13D-K TSpt,0,1,3,FW
150,685,Nisq R Spt,0,1,3,FW
151,687,Desc R Spt,0,1,3,FW
NA,701,Ar 12  Net,0,0,2,NA
152,702,Ar 12  Spt,1,1,1,M
NA,703,Ar 12B Net,0,0,2,NA
NA,704,12/B/C Net,0,0,2,NA
153,705,12-12B Net,1,1,2,M
155,706,Ar9-9A Net,1,1,1,M
NA,707,Ar 12C Net,0,0,1,NA
157,709,Ar 12A Net,2,1,1,M
159,710,Ar12CD Net,2,1,1,M
NA,711,Ar 12D Net,0,0,1,NA
NA,721,Ar 9A  Net,0,0,1,NA
NA,722,9 OnRs Net,0,0,1,NA
161,731,Skok R Net,2,1,3,FW
162,733,Quilcn Net,2,1,3,FW
163,753,1212B TSpt,0,1,3,FW
164,754,12A Tb Spt,0,1,3,FW
165,755,12C-D TSpt,0,1,3,FW
166,756,Skok R Spt,0,1,3,FW
NA,799,Misc TbSpt,0,0,0,NA
NA,801,GSMLND Trm,0,0,0,NA
NA,802,GSVNCI Trm,0,0,0,NA
NA,803,JNSTRT Trm,0,0,0,NA
NA,804,SWVNCI Trm,0,0,0,NA
NA,805,NWVNCI Trm,0,0,0,NA
167,806,FRSLOW Trm,0,0,0,NA
168,807,FRSUPP Trm,0,0,0,NA
169,808,Fraser Spt,0,0,0,NA
170,810,JStrBC Trl,0,0,0,NA
171,811,No BC  Trl,0,0,0,NA
172,812,NoC BC Trl,0,0,0,NA
173,813,SoC BC Trl,0,0,0,NA
174,814,NW VI  Trl,0,0,0,NA
175,815,SW VI  Trl,0,0,0,NA
176,816,GeoStr Trl,0,0,0,NA
177,817,BC JDF Trl,0,0,0,NA
178,831,No BC  Net,0,0,0,NA
179,832,Cen BC Net,0,0,0,NA
180,833,NW VI  Net,0,0,0,NA
181,834,SW VI  Net,0,0,0,NA
182,835,Johnst Net,0,0,0,NA
183,836,GeoStr Net,0,0,0,NA
184,837,Fraser Net,0,0,0,NA
185,838,BC JDF Net,0,0,0,NA
NA,850,JStrBC Spt,0,0,0,NA
186,851,No BC  Spt,0,0,0,NA
187,852,Cen BC Spt,0,0,0,NA
188,853,BC JDF Spt,0,0,0,NA
189,854,WC VI  Spt,0,0,0,NA
NA,855,BC FW  Spt,0,0,0,NA
190,856,NGaStr Spt,0,0,0,NA
191,857,SGaStr Spt,0,0,0,NA
192,858,Albern Spt,0,0,0,NA
NA,881,BCCNTL TTR,0,1,0,NA
NA,882,BCNCST TTR,0,1,0,NA
NA,883,QUEENC TTR,0,1,0,NA
NA,884,"NASSRV TTR",0,1,0,NA
NA,885,SKEENA TTR,0,1,0,NA
NA,900,AK Unknown,0,0,0,NA
193,911,SW AK  Trl,0,0,0,NA
194,912,SE AK  Trl,0,0,0,NA
195,913,NW AK  Trl,0,0,0,NA
196,914,NE AK  Trl,0,0,0,NA
197,930,Alaska Net,0,0,0,NA
NA,931,C106-8 Net,0,0,0,NA
NA,932,C112-4 Net,0,0,0,NA
NA,933,CenOut Net,0,0,0,NA
NA,934,LynnCn Net,0,0,0,NA
NA,935,S101-2 Net,0,0,0,NA
NA,936,AKSNTR Net,0,0,0,NA
NA,937,SoOuts Net,0,0,0,NA
NA,938,StvnsP Net,0,0,0,NA
NA,970,Alaska Spt,0,0,0,NA
NA,971,SW AK  Spt,0,0,0,NA
NA,972,SE AK  Spt,0,0,0,NA
NA,973,NW AK  Spt,0,0,0,NA
NA,974,NE AK  Spt,0,0,0,NA
NA,981,TRANAC TTR,0,1,0,NA
NA,982,NIASKA TTR,0,1,0,NA
NA,983,NOASKA TTR,0,1,0,NA
NA,984,SIASKA TTR,0,1,0,NA
NA,985,SOASKA TTR,0,1,0,NA
NA,999,Escapement,0,0,0,NA
NA,1102,No Cal T W,0,1,0,NA
NA,1103,Cn Cal T W,0,1,0,NA
NA,1201,So Ore T W,0,1,0,NA
NA,1202,Or Pv Aqua,0,1,0,NA
NA,1203,SMi Or T W,0,1,0,NA
NA,1204,NMi Or T W,0,1,0,NA
NA,1205,No Ore T W,0,1,0,NA
NA,1206,Or Cst T W,0,1,0,NA
NA,1311,Buoy10 S-E,0,1,2,NA
NA,1321,LColRSpt E,0,1,3,NA
NA,1325,LColRNet E,0,1,3,NA
NA,1335,YngsBNet E,0,1,3,NA
NA,1351,LCROrTS EH,0,1,3,NA
NA,1353,ClackSp EH,0,1,0,NA
NA,1354,SandySp EH,0,1,3,NA
NA,1361,LCRWTSpt E,0,1,3,NA
NA,1381,UpColSpt E,0,1,3,NA
NA,1391,UpColNet E,0,1,3,NA
NA,1441,Wilp Spt W,0,1,2,NA
NA,1443,Wilp FWS W,0,1,3,NA
NA,1446,Wilp Net W,0,1,2,NA
NA,1456,Hump Spt W,0,1,3,NA
NA,1458,Hump C&S W,0,1,3,NA
NA,1460,Cheh Spt W,0,1,3,NA
NA,1462,UpChehNt W,0,1,3,NA
NA,1463,Cheh C&S W,0,1,3,NA
NA,1467,Sats Spt W,0,1,3,NA
NA,1471,Quin Spt W,0,1,3,NA
NA,1475,Quin Net W,0,1,2,NA
NA,1477,Quin C&S W,0,1,3,NA
NA,1478,QueetSpt W,0,1,3,NA
NA,1480,Clrw Spt W,0,1,3,NA
NA,1484,Quil Spt S,0,1,3,NA
NA,1487,Quil Net S,2,1,2,NA
NA,1489,Quil C&S S,0,1,3,NA
NA,1490,Hoh Spt W,0,1,3,NA
NA,1493,Hoh Net W,0,1,2,NA
NA,1496,Mak FWS W,0,1,3,NA
NA,1497,Mak Net W,0,1,3,NA
NA,1498,Mak C&S W,0,1,3,NA
NA,1801,GSMLND T W,0,1,0,NA
NA,1802,GSVNCI T W,0,1,0,NA
NA,1803,JNSTRT T W,0,1,0,NA
NA,1804,SWVNCI T W,0,1,0,NA
NA,1805,NWVNCI T W,0,1,0,NA
NA,1806,FRSLOW T W,0,1,0,NA
NA,1807,FRSUPP T W,0,1,0,NA
NA,1808,THOMPR T W,0,1,0,NA
NA,2102,No Cal T H,0,1,0,NA
NA,2103,Cn Cal T H,0,1,0,NA
NA,2201,So Ore T H,0,1,0,NA
NA,2202,Or Pv Anad,0,1,0,NA
NA,2203,SMi Or T H,0,1,0,NA
NA,2204,NMi Or T H,0,1,0,NA
NA,2205,No Ore T H,0,1,0,NA
NA,2206,Or Cst T H,0,1,0,NA
NA,2311,Buoy10 S-L,0,1,2,NA
NA,2321,LColRSpt L,0,1,3,NA
NA,2325,LColRNet L,0,1,3,NA
NA,2335,YngsBNet L,0,1,3,NA
NA,2353,ClackSp EW,0,1,0,NA
NA,2354,SandySpt W,0,1,3,NA
NA,2361,LCRWTSpt L,0,1,3,NA
NA,2381,UpColSpt L,0,1,3,NA
NA,2391,UpColNet L,0,1,3,NA
NA,2441,Wilp Spt H,0,1,2,NA
NA,2443,Wilp FWS H,0,1,3,NA
NA,2446,Wilp Net H,0,1,2,NA
NA,2456,Hump Spt H,0,1,3,NA
NA,2458,Hump C&S H,0,1,3,NA
NA,2460,Cheh Spt H,0,1,3,NA
NA,2462,UpChehNt H,0,1,3,NA
NA,2463,Cheh C&S H,0,1,3,NA
NA,2467,Sats Spt H,0,1,3,NA
NA,2471,Quin Spt H,0,1,3,NA
NA,2475,Quin Net H,0,1,2,NA
NA,2477,Quin C&S H,0,1,3,NA
NA,2478,QueetSpt H,0,1,3,NA
NA,2480,ClrwtSpt H,0,1,3,NA
NA,2484,Quil Spt F,0,1,3,NA
NA,2487,Quil Net F,1,1,2,NA
NA,2489,Quil C&S F,0,1,3,NA
NA,2490,Hoh Spt H,0,1,3,NA
NA,2493,Hoh Net H,0,1,2,NA
NA,2496,Mak FWS H,0,1,3,NA
NA,2497,Mak Net H,0,1,3,NA
NA,2498,Mak C&S H,0,1,3,NA
NA,2801,GSMLND T H,0,1,0,NA
NA,2802,GSVNCI T H,0,1,0,NA
NA,2803,JNSTRT T H,0,1,0,NA
NA,2804,SWVNCI T H,0,1,0,NA
NA,2805,NWVNCI T H,0,1,0,NA
NA,2806,FRSLOW T H,0,1,0,NA
NA,2807,FRSUPP T H,0,1,0,NA
NA,2808,THOMPR T H,0,1,0,NA
NA,3311,Buoy10S-YB,0,1,2,NA
NA,3325,LColRNt YB,0,1,3,NA
NA,3335,YngsBNt YB,0,1,3,NA
NA,3353,ClackSpt L,0,1,0,NA
83,505,6D-DgR Net,2,1,3,M
97,531,7B-7D  Net,1,1,2,M
102,561,Area 8 Net,1,1,2,M
110,581,Ar 8A Net,1,1,2,M
112,583,Ar 8D  Net,2,1,1,M
120,611,Ar 10  Net,1,1,2,M
122,614,Ar 10A Net,2,1,1,M
124,615,Ar 10E Net,1,1,1,M
131,634,Ar 11  Net,1,1,1,M
133,635,Ar 11A Net,2,1,1,M
138,651,Ar 13  Net,1,1,1,M
140,655,Ar 13C Net,2,1,1,M
142,656,Ar 13A Net,2,1,1,M
144,657,Ar 13D Net,2,1,1,M
146,659,A13FK  Net,1,1,1,M
154,705,12-12B Net,1,1,2,M
156,706,Ar9-9A Net,1,1,1,M
158,709,Ar 12A Net,2,1,1,M
160,710,Ar12CD Net,2,1,1,M
